ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042270	GO:0042270	protection from natural killer cell mediated cytotoxicity	6/91	31/20973	3.80878141792079e-09	4.39438156092611e-07	3.68349255548918e-07	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0009595	GO:0009595	detection of biotic stimulus	7/91	60/20973	7.33533775806117e-09	7.52279638965607e-07	6.30581666921048e-07	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000149177	7
GO:0016045	GO:0016045	detection of bacterium	6/91	36/20973	9.90222615396276e-09	8.70452832391202e-07	7.29637716607782e-07	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0034109	GO:0034109	homotypic cell-cell adhesion	8/91	112/20973	3.02067153508709e-08	2.23046386150831e-06	1.86963669750654e-06	ENSG00000184009/ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	8
GO:0006749	GO:0006749	glutathione metabolic process	7/91	75/20973	3.57656464520383e-08	2.53936089809472e-06	2.12856276455451e-06	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	7
GO:0051881	GO:0051881	regulation of mitochondrial membrane potential	7/91	81/20973	6.1352632319967e-08	3.90541238836755e-06	3.27362502759896e-06	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	7
GO:0045669	GO:0045669	positive regulation of osteoblast differentiation	7/91	83/20973	7.27450387926385e-08	4.47624472037369e-06	3.75211252719925e-06	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	7
GO:0032615	GO:0032615	interleukin-12 production	7/91	96/20973	1.99525767273735e-07	1.15101426996036e-05	9.64812098330231e-06	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000126353	7
GO:0032655	GO:0032655	regulation of interleukin-12 production	7/91	96/20973	1.99525767273735e-07	1.15101426996036e-05	9.64812098330231e-06	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000126353	7
GO:0001912	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	7/91	109/20973	4.76566463698345e-07	2.51354769139184e-05	2.10692541845584e-05	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637	7
GO:0031343	GO:0031343	positive regulation of cell killing	7/91	116/20973	7.27675970810867e-07	3.73136067254683e-05	3.12773004997653e-05	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637	7
GO:0001916	GO:0001916	positive regulation of T cell mediated cytotoxicity	6/91	74/20973	8.25267853445202e-07	4.00906436173643e-05	3.36050898771315e-05	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0006821	GO:0006821	chloride transport	7/91	122/20973	1.02359870337333e-06	4.84503386263375e-05	4.06124181905207e-05	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	7
GO:0006790	GO:0006790	sulfur compound metabolic process	10/91	366/20973	4.2467527827808e-06	0.000178611670972481	0.000149717258555937	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394/ENSG00000171310/ENSG00000170266/ENSG00000147408	10
GO:0001503	GO:0001503	ossification	11/91	462/20973	5.10317148576468e-06	0.000192254174749421	0.00016115278376099	ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394/ENSG00000147408/ENSG00000159216/ENSG00000122862/ENSG00000020633	11
GO:0001913	GO:0001913	T cell mediated cytotoxicity	6/91	107/20973	7.17968523341159e-06	0.000250069791337317	0.000209615437797717	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0042060	GO:0042060	wound healing	11/91	489/20973	8.72319717298962e-06	0.000292782217842524	0.000245418178838177	ENSG00000026508/ENSG00000184009/ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394/ENSG00000138814/ENSG00000100219	11
GO:0002824	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	7/91	172/20973	1.00148106733034e-05	0.000330131080409251	0.000276725031762331	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637	7
GO:0050817	GO:0050817	coagulation	8/91	257/20973	1.61173481959041e-05	0.000495877079493984	0.000415657927157528	ENSG00000184009/ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	8
GO:0007599	GO:0007599	hemostasis	8/91	259/20973	1.70428199393917e-05	0.000515754846034707	0.000432320022621326	ENSG00000184009/ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	8
GO:0061448	GO:0061448	connective tissue development	8/91	272/20973	2.4216261112114e-05	0.000709574889094641	0.000594785360648413	ENSG00000026508/ENSG00000171310/ENSG00000137642/ENSG00000147408/ENSG00000159216/ENSG00000150347/ENSG00000100219/ENSG00000020633	8
GO:0002707	GO:0002707	negative regulation of lymphocyte mediated immunity	6/91	139/20973	3.19276506361591e-05	0.000920913173036715	0.0007719349742624	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0002699	GO:0002699	positive regulation of immune effector process	9/91	373/20973	3.50896043897345e-05	0.000981445601567423	0.000822674935453106	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637/ENSG00000149177/ENSG00000100219	9
GO:0042267	GO:0042267	natural killer cell mediated cytotoxicity	7/91	213/20973	3.96934060643281e-05	0.00107755922933455	0.000903240045117064	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637	7
GO:0031589	GO:0031589	cell-substrate adhesion	9/91	406/20973	6.75146305583716e-05	0.00159784625654813	0.00133935906775717	ENSG00000026508/ENSG00000184009/ENSG00000126353/ENSG00000130402/ENSG00000282844/ENSG00000183943/ENSG00000087589/ENSG00000156299/ENSG00000149177	9
GO:0022604	GO:0022604	regulation of cell morphogenesis	8/91	328/20973	9.05168250247568e-05	0.00211511467083166	0.00177294780528171	ENSG00000026508/ENSG00000168421/ENSG00000130402/ENSG00000282844/ENSG00000087589/ENSG00000131504/ENSG00000206190/ENSG00000075884	8
GO:0001906	GO:0001906	cell killing	8/91	362/20973	0.000178242026520343	0.00391708072567325	0.00328340575169053	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637/ENSG00000090382	8
GO:0031639	GO:0031639	plasminogen activation	3/91	26/20973	0.000191117379371729	0.00410235677116526	0.00343870927388546	ENSG00000182718/ENSG00000159216/ENSG00000102144	3
GO:0050777	GO:0050777	negative regulation of immune response	7/91	278/20973	0.000208872548146654	0.00436775739503479	0.00366117544089704	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000129084	7
GO:0031348	GO:0031348	negative regulation of defense response	8/91	371/20973	0.00021057985274003	0.00436775739503479	0.00366117544089704	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000069667/ENSG00000129084	8
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	7/91	292/20973	0.000281585760893167	0.00565007950661725	0.00473605341548005	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000150637	7
GO:0002832	GO:0002832	negative regulation of response to biotic stimulus	6/91	209/20973	0.000300488470275348	0.00596453458202466	0.00499963838488695	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	5/91	135/20973	0.000306192535383268	0.00601310021614374	0.0050403474469586	ENSG00000069667/ENSG00000168610/ENSG00000159216/ENSG00000198846/ENSG00000020633	5
GO:0010810	GO:0010810	regulation of cell-substrate adhesion	6/91	234/20973	0.000547198954927368	0.0104137038226384	0.00872905549368672	ENSG00000184009/ENSG00000126353/ENSG00000130402/ENSG00000282844/ENSG00000087589/ENSG00000149177	6
GO:1903510	GO:1903510	mucopolysaccharide metabolic process	4/91	92/20973	0.000692459072566192	0.0130436678362979	0.0109335643036767	ENSG00000026508/ENSG00000171310/ENSG00000170266/ENSG00000147408	4
GO:0060612	GO:0060612	adipose tissue development	3/91	45/20973	0.000982751598755628	0.0178928861756781	0.0149983136672446	ENSG00000137642/ENSG00000150347/ENSG00000100219	3
GO:0060368	GO:0060368	regulation of Fc receptor mediated stimulatory signaling pathway	2/91	11/20973	0.000998357137646178	0.0178928861756781	0.0149983136672446	ENSG00000150637/ENSG00000149177	2
GO:2000035	GO:2000035	regulation of stem cell division	2/91	12/20973	0.00119464873977705	0.021003062605985	0.017605349849346	ENSG00000171843/ENSG00000213626	2
GO:0050863	GO:0050863	regulation of T cell activation	8/91	488/20973	0.00127430021924856	0.0219846561189985	0.0184281487682773	ENSG00000115904/ENSG00000126353/ENSG00000168421/ENSG00000081059/ENSG00000159216/ENSG00000198846/ENSG00000100219/ENSG00000020633	8
GO:0048934	GO:0048934	peripheral nervous system neuron differentiation	2/91	13/20973	0.00140787581445732	0.0235399466930804	0.0197318364821966	ENSG00000159216/ENSG00000020633	2
GO:0048935	GO:0048935	peripheral nervous system neuron development	2/91	13/20973	0.00140787581445732	0.0235399466930804	0.0197318364821966	ENSG00000159216/ENSG00000020633	2
GO:1905203	GO:1905203	regulation of connective tissue replacement	2/91	14/20973	0.00163789096070207	0.0268655266763583	0.0225194298992112	ENSG00000138814/ENSG00000159216	2
GO:0055001	GO:0055001	muscle cell development	5/91	196/20973	0.00164453115624512	0.0268655266763583	0.0225194298992112	ENSG00000184009/ENSG00000130402/ENSG00000282844/ENSG00000138814/ENSG00000160789	5
GO:0010771	GO:0010771	negative regulation of cell morphogenesis involved in differentiation	2/91	15/20973	0.00188454771337225	0.0297339750332066	0.0249238429028989	ENSG00000130402/ENSG00000282844	2
GO:1900025	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	2/91	15/20973	0.00188454771337225	0.0297339750332066	0.0249238429028989	ENSG00000130402/ENSG00000282844	2
GO:0030522	GO:0030522	intracellular receptor signaling pathway	6/91	301/20973	0.00199658869027986	0.030972291783669	0.0259618343627721	ENSG00000130402/ENSG00000282844/ENSG00000124496/ENSG00000213626/ENSG00000069667/ENSG00000168610	6
GO:0042326	GO:0042326	negative regulation of phosphorylation	7/91	413/20973	0.00213643265124578	0.0317172415448033	0.0265862719227124	ENSG00000168675/ENSG00000159733/ENSG00000135362/ENSG00000100100/ENSG00000137642/ENSG00000168610/ENSG00000149177	7
GO:0010755	GO:0010755	regulation of plasminogen activation	2/91	16/20973	0.00214770053797422	0.0317172415448033	0.0265862719227124	ENSG00000182718/ENSG00000159216	2
GO:1904683	GO:1904683	regulation of metalloendopeptidase activity	2/91	16/20973	0.00214770053797422	0.0317172415448033	0.0265862719227124	ENSG00000137642/ENSG00000168610	2
GO:0051897	GO:0051897	positive regulation of protein kinase B signaling	4/91	133/20973	0.00269805628102855	0.0380795801044542	0.0319193606395322	ENSG00000126353/ENSG00000087589/ENSG00000140443/ENSG00000149177	4
GO:0010612	GO:0010612	regulation of cardiac muscle adaptation	2/91	18/20973	0.00272291688720908	0.0380795801044542	0.0319193606395322	ENSG00000138814/ENSG00000160789	2
GO:1903242	GO:1903242	regulation of cardiac muscle hypertrophy in response to stress	2/91	18/20973	0.00272291688720908	0.0380795801044542	0.0319193606395322	ENSG00000138814/ENSG00000160789	2
GO:2000651	GO:2000651	positive regulation of sodium ion transmembrane transporter activity	2/91	18/20973	0.00272291688720908	0.0380795801044542	0.0319193606395322	ENSG00000130402/ENSG00000282844	2
GO:0030206	GO:0030206	chondroitin sulfate biosynthetic process	2/91	19/20973	0.00303469394964967	0.04139824841323	0.0347011604992006	ENSG00000171310/ENSG00000147408	2
GO:0097709	GO:0097709	connective tissue replacement	2/91	19/20973	0.00303469394964967	0.04139824841323	0.0347011604992006	ENSG00000138814/ENSG00000159216	2
GO:0051651	GO:0051651	maintenance of location in cell	5/91	226/20973	0.00304992512686852	0.04139824841323	0.0347011604992006	ENSG00000126353/ENSG00000131504/ENSG00000137642/ENSG00000167996/ENSG00000122862	5
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	7/91	449/20973	0.0033978041611964	0.0451247948314284	0.0378248551076009	ENSG00000026508/ENSG00000126353/ENSG00000168421/ENSG00000135074/ENSG00000159216/ENSG00000100219/ENSG00000020633	7
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	6/91	338/20973	0.00354464862630185	0.0467387240296658	0.0391776953433362	ENSG00000163947/ENSG00000115904/ENSG00000156299/ENSG00000145819/ENSG00000155903/ENSG00000075884	6
GO:0030050	GO:0030050	vesicle transport along actin filament	2/91	21/20973	0.00370587652818254	0.0478394970001747	0.0401003937904184	ENSG00000130402/ENSG00000282844	2
GO:0043371	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	2/91	21/20973	0.00370587652818254	0.0478394970001747	0.0401003937904184	ENSG00000159216/ENSG00000020633	2
